region,year,capture_mass_level
Орловская область,2009,6.0
Рязанская область,2009,305.0
Смоленская область,2009,84.0
Тамбовская область,2009,10.0
Тверская область,2009,29.0
Тульская область,2009,441.0
Ярославская область,2009,52.0
г. Москва,2009,86.0
Республика Карелия,2009,104.0
Республика Коми,2009,268.0
Архангельская область,2009,608.0
Вологодская область,2009,1578.0
Калининградская область,2009,6.0
Ленинградская область,2009,689.0
Мурманская область,2009,1622.0
Новгородская область,2009,90.0
Псковская область,2009,9.0
г. Санкт-Петербург,2009,47.0
Республика Адыгея,2009,4.0
Республика Калмыкия,2009,0.2
Краснодарский край,2009,735.0
Астраханская область,2009,15.0
Волгоградская область,2009,276.0
Ростовская область,2009,859.0
Республика Дагестан,2009,3.0
Республика Ингушетия,2009,0.1
Кабардино-Балкарская Республика,2009,2.0
Карачаево-Черкесская Республика,2009,264.0
Республика Северная Осетия - Алания,2009,203.0
Ставропольский край,2009,71.0
Республика Башкортостан,2009,685.0
Республика Марий Эл,2009,11.0
Республика Мордовия,2009,463.0
Республика Татарстан,2009,358.0
Удмуртская Республика,2009,31.0
Чувашская Республика,2009,17.0
Кировская область,2009,173.0
Нижегородская область,2009,220.0
Оренбургская область,2009,825.0
Пензенская область,2009,41.0
Самарская область,2009,306.0
Саратовская область,2009,463.0
Ульяновская область,2009,175.0
Курганская область,2009,57.0
Свердловская область,2009,7932.0
Тюменская область,2009,27.0
Челябинская область,2009,4119.0
Республика Алтай,2009,1.0
Республика Бурятия,2009,670.0
Республика Тыва,2009,27.0
Республика Хакасия,2009,191.0
Алтайский край,2009,681.0
Красноярский край,2009,8579.0
Иркутская область,2009,2578.0
Кемеровская область,2009,4366.0
Новосибирская область,2009,885.0
Омская область,2009,1633.0
Томская область,2009,310.0
Республика Саха (Якутия),2009,357.0
Приморский край,2009,2398.0
Хабаровский край,2009,706.0
Амурская область,2009,301.0
Магаданская область,2009,47.0
Сахалинская область,2009,422.0
Еврейская автономная область,2009,90.0
Чукотский автономный округ,2009,39.0
Белгородская область,2010,764.0
Брянская область,2010,560.0
Владимирская область,2010,14.0
Воронежская область,2010,51.0
Ивановская область,2010,26.0
Калужская область,2010,134.0
Костромская область,2010,45.0
Курская область,2010,40.0
Липецкая область,2010,1134.0
Московская область,2010,873.0
Орловская область,2010,6.0
Рязанская область,2010,538.0
Смоленская область,2010,112.0
Тамбовская область,2010,10.0
Тверская область,2010,30.0
Тульская область,2010,597.0
Ярославская область,2010,53.0
г. Москва,2010,74.0
Республика Карелия,2010,140.0
Республика Коми,2010,363.0
Архангельская область,2010,688.0
Вологодская область,2010,1773.0
Калининградская область,2010,13.0
Ленинградская область,2010,978.0
Мурманская область,2010,2225.0
Новгородская область,2010,89.0
Псковская область,2010,8.0
г. Санкт-Петербург,2010,109.0
Республика Адыгея,2010,5.0
Республика Калмыкия,2010,0.2
Краснодарский край,2010,697.0
Астраханская область,2010,15.0
Волгоградская область,2010,232.0
Ростовская область,2010,869.0
Республика Дагестан,2010,2.0
Республика Ингушетия,2010,0.0
Кабардино-Балкарская Республика,2010,2.0
Карачаево-Черкесская Республика,2010,303.0
Республика Северная Осетия - Алания,2010,215.0
Ставропольский край,2010,68.0
Республика Башкортостан,2010,495.0
Республика Марий Эл,2010,10.0
Республика Мордовия,2010,450.0
Республика Татарстан,2010,329.0
Удмуртская Республика,2010,18.0
Чувашская Республика,2010,14.0
Кировская область,2010,131.0
Нижегородская область,2010,256.0
Оренбургская область,2010,764.0
Пензенская область,2010,22.0
Самарская область,2010,367.0
Саратовская область,2010,501.0
Ульяновская область,2010,172.0
Курганская область,2010,151.0
Свердловская область,2010,9492.0
Тюменская область,2010,43.0
Челябинская область,2010,4695.0
Республика Алтай,2010,2.0
Республика Бурятия,2010,669.0
Республика Тыва,2010,32.0
Республика Хакасия,2010,169.0
Алтайский край,2010,776.0
Красноярский край,2010,9012.0
Иркутская область,2010,2821.0
Кемеровская область,2010,4823.0
Новосибирская область,2010,1009.0
Омская область,2010,1787.0
Томская область,2010,406.0
Республика Саха (Якутия),2010,403.0
Приморский край,2010,2587.0
Хабаровский край,2010,646.0
Амурская область,2010,284.0
Магаданская область,2010,53.0
Сахалинская область,2010,406.0
Еврейская автономная область,2010,147.0
Чукотский автономный округ,2010,30.0
Белгородская область,2011,785.0
Брянская область,2011,477.0
