region,year,opzh,vrp
г. Санкт-Петербург,2006,68.9,825102.3
Республика Адыгея,2006,68.27,21132.4
Республика Калмыкия,2006,67.52,12844.1
Краснодарский край,2006,68.74,483950.7
Астраханская область,2006,66.14,85112.1
Волгоградская область,2006,67.84,252142.7
Ростовская область,2006,67.61,340012.5
Республика Дагестан,2006,73.35,124153.5
Республика Ингушетия,2006,76.02,9033.5
Кабардино-Балкарская Республика,2006,70.14,43309.7
Карачаево-Черкесская Республика,2006,70.19,23260.1
Республика Северная Осетия - Алания,2006,70.74,43341.2
Ставропольский край,2006,68.25,181675.1
Республика Башкортостан,2006,67.47,505205.8
Республика Марий Эл,2006,64.82,43663.7
Республика Мордовия,2006,67.75,57974.2
Республика Татарстан,2006,69.04,605911.5
Удмуртская Республика,2006,66.01,164848.5
Чувашская Республика,2006,66.98,93172.0
Кировская область,2006,65.8,97047.1
Нижегородская область,2006,64.6,376180.3
Оренбургская область,2006,66.17,302808.4
Пензенская область,2006,67.25,88805.0
Самарская область,2006,66.57,487713.5
Саратовская область,2006,67.37,204291.2
Ульяновская область,2006,66.33,101950.3
Курганская область,2006,65.52,68434.5
Свердловская область,2006,66.47,653908.3
Тюменская область,2006,67.95,2551355.4
Челябинская область,2006,66.17,446918.0
Республика Алтай,2006,62.49,11609.4
Республика Тыва,2006,58.43,15146.8
Республика Хакасия,2006,64.51,53689.3
Алтайский край,2006,66.64,173810.5
Красноярский край,2006,65.58,585881.9
Иркутская область,2006,63.06,330834.3
Кемеровская область,2006,63.04,342210.6
Новосибирская область,2006,66.38,296064.5
Омская область,2006,66.17,262506.7
Томская область,2006,66.5,188800.7
Республика Бурятия,2006,62.43,91712.4
Республика Саха (Якутия),2006,65.55,206845.0
Приморский край,2006,64.4,215934.4
Хабаровский край,2006,63.67,194259.6
Амурская область,2006,62.23,95090.9
Магаданская область,2006,63.4,31203.2
Сахалинская область,2006,62.79,166105.4
Еврейская автономная область,2006,61.27,17976.8
Чукотский автономный округ,2006,58.93,15538.0
Белгородская область,2007,70.33,237013.3
Брянская область,2007,66.11,102706.2
Владимирская область,2007,65.3,146663.0
Воронежская область,2007,67.52,222811.9
Ивановская область,2007,65.55,74752.0
Калужская область,2007,66.64,111869.0
Костромская область,2007,66.27,65700.4
Курская область,2007,66.66,128799.0
Липецкая область,2007,67.31,209821.5
Московская область,2007,66.93,1295649.9
Орловская область,2007,67.23,77101.2
Рязанская область,2007,65.61,121305.2
Смоленская область,2007,64.46,95703.4
Тамбовская область,2007,67.9,106039.6
Тверская область,2007,63.99,156034.6
Тульская область,2007,65.01,174110.9
Ярославская область,2007,67.0,186577.5
г. Москва,2007,72.5,6696259.1
Республика Карелия,2007,65.12,104603.3
Республика Коми,2007,65.83,241150.5
Архангельская область,2007,66.27,268672.1
Вологодская область,2007,66.96,243336.3
Калининградская область,2007,65.79,143927.7
Ленинградская область,2007,64.58,309028.6
Мурманская область,2007,66.72,191584.6
Новгородская область,2007,63.96,86664.9
Псковская область,2007,64.09,61561.9
г. Санкт-Петербург,2007,69.86,1119660.3
Республика Адыгея,2007,68.77,29085.1
Республика Калмыкия,2007,68.35,17225.8
Краснодарский край,2007,69.25,648211.3
Астраханская область,2007,67.02,100359.2
Волгоградская область,2007,68.84,331766.8
Ростовская область,2007,68.38,450434.7
Республика Дагестан,2007,74.21,156928.8
Республика Ингушетия,2007,79.0,16812.4
Кабардино-Балкарская Республика,2007,71.18,48908.7
Карачаево-Черкесская Республика,2007,71.28,27469.7
Республика Северная Осетия - Алания,2007,71.74,52804.8
Ставропольский край,2007,69.49,222239.6
Республика Башкортостан,2007,67.81,590054.1
Республика Марий Эл,2007,66.16,55069.2
Республика Мордовия,2007,68.4,77048.8
Республика Татарстан,2007,69.44,757401.4
Удмуртская Республика,2007,66.59,205647.4
Чувашская Республика,2007,67.39,123453.3
Кировская область,2007,67.02,118154.9
Нижегородская область,2007,65.58,473307.4
Оренбургская область,2007,66.68,370880.9
Пензенская область,2007,68.3,119104.0
Самарская область,2007,67.19,584968.6
Саратовская область,2007,68.01,252867.2
Ульяновская область,2007,66.97,124676.2
Курганская область,2007,66.66,81076.0
Свердловская область,2007,67.5,820792.5
Тюменская область,2007,68.57,2758813.1
Челябинская область,2007,67.14,575643.7
Республика Алтай,2007,64.33,15108.5
Республика Тыва,2007,59.16,19384.2
Республика Хакасия,2007,66.19,63722.0
Алтайский край,2007,67.22,223563.4
Красноярский край,2007,66.58,734154.8
Иркутская область,2007,64.9,402654.7
Кемеровская область,2007,64.01,437790.2
Новосибирская область,2007,67.43,365531.2
Омская область,2007,66.54,296004.7
Томская область,2007,67.68,214487.0
Республика Бурятия,2007,64.2,107442.0
Республика Саха (Якутия),2007,66.17,242656.5
Приморский край,2007,65.11,259041.4
Хабаровский край,2007,64.76,231293.2
Амурская область,2007,63.93,111761.2
Магаданская область,2007,63.57,35314.4
Сахалинская область,2007,64.48,286273.0
Еврейская автономная область,2007,61.94,23726.1
Чукотский автономный округ,2007,58.72,20984.1
Белгородская область,2008,70.49,317656.3
Брянская область,2008,66.49,125834.4
Владимирская область,2008,65.45,175395.7
Воронежская область,2008,67.82,287072.1
Ивановская область,2008,65.96,86980.3
Калужская область,2008,66.8,150394.4
Костромская область,2008,66.34,81040.7
Курская область,2008,66.85,167865.8
Липецкая область,2008,67.53,259532.2
Московская область,2008,67.3,1645753.0
Орловская область,2008,67.7,96669.9
Рязанская область,2008,66.43,150151.2
Смоленская область,2008,64.53,121601.3
Тамбовская область,2008,68.24,120836.0
Тверская область,2008,64.82,192283.0
Тульская область,2008,65.42,231730.8
Ярославская область,2008,67.6,214946.3
г. Москва,2008,72.84,8248652.0
Республика Карелия,2008,65.48,115208.2
Республика Коми,2008,66.2,291812.1
Архангельская область,2008,66.94,289755.9
Вологодская область,2008,66.91,294926.2
Калининградская область,2008,66.51,179266.7
Ленинградская область,2008,65.22,383255.4
Мурманская область,2008,66.7,213733.5
Новгородская область,2008,63.62,115141.3
Псковская область,2008,63.62,73283.2
г. Санкт-Петербург,2008,70.48,1431839.6
Республика Адыгея,2008,68.67,36134.4
Республика Калмыкия,2008,68.99,20789.7
Краснодарский край,2008,69.72,803834.1
Астраханская область,2008,67.97,147549.1
Волгоградская область,2008,68.99,416678.5
Ростовская область,2008,68.88,576125.7
Республика Дагестан,2008,74.37,216277.2
Республика Ингушетия,2008,80.1,19172.9
Кабардино-Балкарская Республика,2008,72.53,58093.4
Карачаево-Черкесская Республика,2008,71.55,35714.2
Республика Северная Осетия - Алания,2008,71.45,57707.4
Ставропольский край,2008,69.68,274992.0
Республика Башкортостан,2008,68.0,743133.4
Республика Марий Эл,2008,66.45,65765.3
Республика Мордовия,2008,68.74,94058.3
Республика Татарстан,2008,70.05,926056.7
Удмуртская Республика,2008,67.19,243135.5
Чувашская Республика,2008,67.84,155032.3
Кировская область,2008,66.94,151116.7
Нижегородская область,2008,66.1,588790.8
Оренбургская область,2008,66.76,430023.1
Пензенская область,2008,68.67,147853.2
Самарская область,2008,67.51,699295.6
Саратовская область,2008,68.39,321747.2
Ульяновская область,2008,67.89,150680.3
Курганская область,2008,66.67,106223.2
Свердловская область,2008,67.75,923550.8
Тюменская область,2008,68.89,3121401.3
Челябинская область,2008,67.23,664492.7
Республика Алтай,2008,65.15,18701.0
Республика Тыва,2008,60.48,23870.5
Республика Хакасия,2008,66.53,72308.8
Алтайский край,2008,67.52,259343.1
Красноярский край,2008,66.94,737950.5
Иркутская область,2008,65.01,438852.4
Кемеровская область,2008,64.64,575901.9
Новосибирская область,2008,68.0,453574.6
Омская область,2008,67.54,347760.3
Томская область,2008,67.66,248906.2
Республика Бурятия,2008,64.37,124738.5
Республика Саха (Якутия),2008,65.78,309518.3
Приморский край,2008,65.5,316581.9
Хабаровский край,2008,65.27,269178.6
Амурская область,2008,63.53,131563.7
Магаданская область,2008,63.7,42053.8
Сахалинская область,2008,64.39,333581.6
Еврейская автономная область,2008,62.66,23977.0
Чукотский автономный округ,2008,59.65,30558.7
Белгородская область,2009,71.07,304345.3
Брянская область,2009,67.86,126477.4
Владимирская область,2009,66.23,185824.6
Воронежская область,2009,68.94,301729.1
Ивановская область,2009,66.72,87061.9
Калужская область,2009,67.56,154946.1
Костромская область,2009,67.17,78920.7
Курская область,2009,68.06,161570.9
Липецкая область,2009,68.44,226662.0
Московская область,2009,68.21,1519446.3
Орловская область,2009,68.68,90623.6
Рязанская область,2009,67.69,153634.1
Смоленская область,2009,65.55,125348.9
Тамбовская область,2009,68.78,136323.9
Тверская область,2009,65.3,197687.0
Тульская область,2009,66.69,214925.4
Ярославская область,2009,68.59,212684.4
г. Москва,2009,73.61,7126972.4
