region,year,opzh,vrp,real_wage_index
Брянская область,2007,66.11,102706.2,113.4
Владимирская область,2007,65.3,146663.0,119.0
Воронежская область,2007,67.52,222811.9,118.8
Ивановская область,2007,65.55,74752.0,115.1
Калужская область,2007,66.64,111869.0,115.7
Костромская область,2007,66.27,65700.4,113.4
Курская область,2007,66.66,128799.0,115.5
Липецкая область,2007,67.31,209821.5,115.9
Московская область,2007,66.93,1295649.9,121.8
Орловская область,2007,67.23,77101.2,117.6
Рязанская область,2007,65.61,121305.2,115.4
Смоленская область,2007,64.46,95703.4,115.3
Тамбовская область,2007,67.9,106039.6,114.6
Тверская область,2007,63.99,156034.6,116.6
Тульская область,2007,65.01,174110.9,116.8
Ярославская область,2007,67.0,186577.5,113.2
г. Москва,2007,72.5,6696259.1,120.5
Республика Карелия,2007,65.12,104603.3,112.9
Республика Коми,2007,65.83,241150.5,110.1
Архангельская область,2007,66.27,268672.1,111.4
Вологодская область,2007,66.96,243336.3,110.7
Калининградская область,2007,65.79,143927.7,119.9
Ленинградская область,2007,64.58,309028.6,117.9
Мурманская область,2007,66.72,191584.6,111.9
Новгородская область,2007,63.96,86664.9,113.4
Псковская область,2007,64.09,61561.9,118.8
г. Санкт-Петербург,2007,69.86,1119660.3,121.5
Республика Адыгея,2007,68.77,29085.1,115.6
Республика Калмыкия,2007,68.35,17225.8,117.2
Краснодарский край,2007,69.25,648211.3,117.1
Астраханская область,2007,67.02,100359.2,108.2
Волгоградская область,2007,68.84,331766.8,116.3
Ростовская область,2007,68.38,450434.7,118.1
Республика Дагестан,2007,74.21,156928.8,115.3
Республика Ингушетия,2007,79.0,16812.4,104.8
Кабардино-Балкарская Республика,2007,71.18,48908.7,114.2
Карачаево-Черкесская Республика,2007,71.28,27469.7,116.7
Республика Северная Осетия - Алания,2007,71.74,52804.8,117.7
Ставропольский край,2007,69.49,222239.6,117.6
Республика Башкортостан,2007,67.81,590054.1,118.1
Республика Марий Эл,2007,66.16,55069.2,122.1
Республика Мордовия,2007,68.4,77048.8,117.3
Республика Татарстан,2007,69.44,757401.4,120.1
Удмуртская Республика,2007,66.59,205647.4,115.0
Чувашская Республика,2007,67.39,123453.3,123.3
Кировская область,2007,67.02,118154.9,115.9
Нижегородская область,2007,65.58,473307.4,113.6
Оренбургская область,2007,66.68,370880.9,115.5
Пензенская область,2007,68.3,119104.0,121.8
