region,year,living_wage
Еврейская автономная область,2011,7394.0
Чукотский автономный округ,2011,
Белгородская область,2012,5256.0
Брянская область,2012,5423.0
Владимирская область,2012,6419.0
Воронежская область,2012,5756.0
Ивановская область,2012,6206.0
Калужская область,2012,5757.0
Костромская область,2012,6547.0
Курская область,2012,5456.0
Липецкая область,2012,5724.0
Московская область,2012,7223.0
Орловская область,2012,5236.0
Рязанская область,2012,6340.0
Смоленская область,2012,7199.0
Тамбовская область,2012,4870.0
Тверская область,2012,6301.0
Тульская область,2012,6137.0
Ярославская область,2012,6080.0
г. Москва,2012,9747.0
Республика Карелия,2012,7774.0
Республика Коми,2012,8293.0
Архангельская область,2012,8159.0
Вологодская область,2012,6847.0
Калининградская область,2012,6273.0
Ленинградская область,2012,6155.0
Мурманская область,2012,9315.0
Новгородская область,2012,6183.0
Псковская область,2012,6406.0
г. Санкт-Петербург,2012,6613.0
Республика Адыгея,2012,5525.0
Республика Калмыкия,2012,5722.0
Краснодарский край,2012,6332.0
Астраханская область,2012,5822.0
Волгоградская область,2012,6474.0
Ростовская область,2012,6233.0
Республика Дагестан,2012,5279.0
Республика Ингушетия,2012,5081.0
Кабардино-Балкарская Республика,2012,5138.0
Карачаево-Черкесская Республика,2012,5435.0
Республика Северная Осетия - Алания,2012,5468.0
Ставропольский край,2012,6259.0
Республика Башкортостан,2012,5755.0
Республика Марий Эл,2012,5427.0
Республика Мордовия,2012,5610.0
Республика Татарстан,2012,5622.0
Удмуртская Республика,2012,5753.0
Чувашская Республика,2012,5510.0
Кировская область,2012,6169.0
Нижегородская область,2012,6579.0
Оренбургская область,2012,5783.0
Пензенская область,2012,5589.0
Самарская область,2012,6903.0
Саратовская область,2012,5722.0
Ульяновская область,2012,5786.0
Курганская область,2012,6041.0
Свердловская область,2012,7005.0
Тюменская область,2012,6623.0
Челябинская область,2012,6149.0
Республика Алтай,2012,6505.0
Республика Бурятия,2012,6766.0
Республика Тыва,2012,6462.0
Республика Хакасия,2012,6405.0
Алтайский край,2012,6257.0
Красноярский край,2012,7715.0
Иркутская область,2012,6557.0
