region,year,vrp
Вологодская область,2009,213396.9
Калининградская область,2009,169519.6
Ленинградская область,2009,430395.5
Мурманская область,2009,202235.5
Новгородская область,2009,117710.0
Псковская область,2009,74647.8
г. Санкт-Петербург,2009,1475805.3
Республика Адыгея,2009,41511.5
Республика Калмыкия,2009,23948.1
Краснодарский край,2009,861603.3
Астраханская область,2009,134418.2
Волгоградская область,2009,377514.3
Ростовская область,2009,555917.1
Республика Дагестан,2009,257832.7
Республика Ингушетия,2009,18953.3
Кабардино-Балкарская Республика,2009,65660.1
Карачаево-Черкесская Республика,2009,38584.1
Республика Северная Осетия - Алания,2009,64081.4
Ставропольский край,2009,277251.0
Республика Башкортостан,2009,647911.7
Республика Марий Эл,2009,69271.5
Республика Мордовия,2009,90862.4
Республика Татарстан,2009,885064.0
Удмуртская Республика,2009,230938.3
Чувашская Республика,2009,139909.5
Кировская область,2009,146321.3
Нижегородская область,2009,547223.0
Оренбургская область,2009,413395.5
Пензенская область,2009,147185.1
Самарская область,2009,583999.9
Саратовская область,2009,326370.4
Ульяновская область,2009,154247.4
Курганская область,2009,107914.5
Свердловская область,2009,825267.4
Тюменская область,2009,2870284.0
Челябинская область,2009,556985.3
Республика Алтай,2009,19911.6
Республика Тыва,2009,26921.9
Республика Хакасия,2009,81019.9
Алтайский край,2009,265613.3
Красноярский край,2009,749194.8
Иркутская область,2009,458774.9
Кемеровская область,2009,512408.0
Новосибирская область,2009,425400.2
Омская область,2009,336259.6
Томская область,2009,245808.3
Республика Бурятия,2009,121187.7
Республика Саха (Якутия),2009,328201.7
Приморский край,2009,368996.7
Хабаровский край,2009,276895.4
Амурская область,2009,151118.6
Магаданская область,2009,47895.9
Сахалинская область,2009,392380.1
Еврейская автономная область,2009,25320.0
Чукотский автономный округ,2009,45067.6
Белгородская область,2010,398361.4
Брянская область,2010,147024.0
Владимирская область,2010,224759.2
Воронежская область,2010,346568.2
Ивановская область,2010,109884.5
Калужская область,2010,188601.3
Костромская область,2010,98130.7
Курская область,2010,193648.6
Липецкая область,2010,248544.9
Московская область,2010,1832867.3
Орловская область,2010,106196.7
Рязанская область,2010,179127.9
Смоленская область,2010,154681.1
Тамбовская область,2010,143902.4
Тверская область,2010,219004.9
Тульская область,2010,237629.2
Ярославская область,2010,239644.0
г. Москва,2010,8375863.8
Республика Карелия,2010,120511.3
Республика Коми,2010,353853.0
Архангельская область,2010,372804.8
Вологодская область,2010,262432.7
Калининградская область,2010,195749.1
Ленинградская область,2010,490303.7
Мурманская область,2010,233438.9
Новгородская область,2010,127407.8
Псковская область,2010,87066.0
г. Санкт-Петербург,2010,1699486.4
Республика Адыгея,2010,47194.5
Республика Калмыкия,2010,24404.1
Краснодарский край,2010,1028308.4
Астраханская область,2010,144888.8
Волгоградская область,2010,433473.7
Ростовская область,2010,659667.4
Республика Дагестан,2010,274354.2
Республика Ингушетия,2010,19929.1
Кабардино-Балкарская Республика,2010,77086.4
Карачаево-Черкесская Республика,2010,43651.5
Республика Северная Осетия - Алания,2010,75327.4
Ставропольский край,2010,330790.8
Республика Башкортостан,2010,759203.3
