region,year,opzh
Хабаровский край,2009,66.33
Амурская область,2009,64.41
Магаданская область,2009,64.06
Сахалинская область,2009,64.83
Еврейская автономная область,2009,63.34
Чукотский автономный округ,2009,58.22
Белгородская область,2010,71.31
Брянская область,2010,67.92
Владимирская область,2010,67.12
Воронежская область,2010,69.45
Ивановская область,2010,67.09
Калужская область,2010,68.1
Костромская область,2010,67.5
Курская область,2010,68.53
Липецкая область,2010,68.59
Московская область,2010,69.13
Орловская область,2010,68.4
Рязанская область,2010,67.81
Смоленская область,2010,66.59
Тамбовская область,2010,69.22
Тверская область,2010,65.9
Тульская область,2010,67.11
Ярославская область,2010,68.39
г. Москва,2010,74.15
Республика Карелия,2010,66.42
Республика Коми,2010,66.87
Архангельская область,2010,67.89
Вологодская область,2010,67.08
Калининградская область,2010,68.75
Ленинградская область,2010,68.09
Мурманская область,2010,68.43
Новгородская область,2010,65.04
Псковская область,2010,64.59
г. Санкт-Петербург,2010,72.06
Республика Адыгея,2010,69.95
Республика Калмыкия,2010,69.35
Краснодарский край,2010,70.95
Астраханская область,2010,69.08
Волгоградская область,2010,69.66
Ростовская область,2010,69.72
Республика Дагестан,2010,73.87
Республика Ингушетия,2010,74.71
Кабардино-Балкарская Республика,2010,72.11
Карачаево-Черкесская Республика,2010,72.44
Республика Северная Осетия - Алания,2010,72.65
Ставропольский край,2010,71.01
Республика Башкортостан,2010,68.89
Республика Марий Эл,2010,67.34
Республика Мордовия,2010,69.25
Республика Татарстан,2010,70.42
Удмуртская Республика,2010,68.1
Чувашская Республика,2010,68.54
Кировская область,2010,68.24
Нижегородская область,2010,67.01
Оренбургская область,2010,67.95
Пензенская область,2010,69.28
Самарская область,2010,68.13
Саратовская область,2010,68.89
Ульяновская область,2010,68.54
Курганская область,2010,67.66
Свердловская область,2010,68.81
Тюменская область,2010,69.46
Челябинская область,2010,68.41
Республика Алтай,2010,65.68
Республика Тыва,2010,60.45
Республика Хакасия,2010,67.1
Алтайский край,2010,68.36
Красноярский край,2010,67.57
Иркутская область,2010,65.26
Кемеровская область,2010,65.42
Новосибирская область,2010,69.28
Омская область,2010,68.78
Томская область,2010,68.83
Республика Бурятия,2010,66.05
Республика Саха (Якутия),2010,66.75
Приморский край,2010,66.63
Хабаровский край,2010,65.68
Амурская область,2010,64.36
Магаданская область,2010,65.07
Сахалинская область,2010,64.9
Еврейская автономная область,2010,63.67
Чукотский автономный округ,2010,57.49
Белгородская область,2011,71.71
Брянская область,2011,68.83
Владимирская область,2011,68.08
Воронежская область,2011,70.41
Ивановская область,2011,68.56
Калужская область,2011,69.49
Костромская область,2011,68.45
Курская область,2011,69.27
Липецкая область,2011,69.87
Московская область,2011,70.36
Орловская область,2011,69.48
Рязанская область,2011,69.34
Смоленская область,2011,68.12
Тамбовская область,2011,70.18
Тверская область,2011,67.02
Тульская область,2011,68.63
Ярославская область,2011,69.95
г. Москва,2011,75.79
Республика Карелия,2011,67.95
Республика Коми,2011,67.95
Архангельская область,2011,68.75
Вологодская область,2011,68.36
Калининградская область,2011,69.9
Ленинградская область,2011,69.44
Мурманская область,2011,68.93
Новгородская область,2011,66.46
Псковская область,2011,66.47
г. Санкт-Петербург,2011,73.06
Республика Адыгея,2011,70.99
Республика Калмыкия,2011,70.8
Краснодарский край,2011,71.15
Астраханская область,2011,69.84
Волгоградская область,2011,70.5
Ростовская область,2011,70.28
Республика Дагестан,2011,74.26
Республика Ингушетия,2011,76.29
Кабардино-Балкарская Республика,2011,72.44
Карачаево-Черкесская Республика,2011,72.85
Республика Северная Осетия - Алания,2011,72.59
Ставропольский край,2011,71.57
